Institution_Name,Institution_Address,Institution_City,Institution_State
Covenant Medical Center- Waterloo,3421 West 9th Street,Waterloo,IA
Simpson College,701 North C St,Indianola,IA
Southeastern Community College,1500 West Agency Road,West Burlington,IA
Southwestern Community College,1501 W. Townline Street,Creston,IA
Mercy Medical Center-North Iowa,"1000 4th Street, SW",Mason City,IA
E Q School of Hair Design,536 W Broadway,Council Bluffs,IA
Dayton School of Hair Design,23 S 2nd,Keokuk,IA
Upper Iowa University,605 Washington St,Fayette,IA
Vennard College,2300 8th Ave E,University Park,IA
Waldorf College,106 S Sixth St,Forest City,IA
Wartburg College,100 Wartburg Blvd.,Waverly,IA
Wartburg Theological Seminary,333 Wartburg Place,Dubuque,IA
College of Hair Design,"722 Water St, Ste 201",Waterloo,IA
Western Iowa Tech Community College,4647 Stone Ave,Sioux City,IA
William Penn University,201 Trueblood Ave,Oskaloosa,IA
Academy of Hair Design Inc,115 S Fifth St,Salina,KS
Allen County Community College,1801 N Cottonwood,Iola,KS
American Institute of Baking,1213 Bakers Way,Manhattan,KS
Baker University,618 Eighth Street,Baldwin City,KS
Barton County Community College,245 NE 30th Road,Great Bend,KS
Benedictine College,1020 N 2nd St,Atchison,KS
Bethany College,335 E. Swensson Street,Lindsborg,KS
Brown Mackie College - Salina,2106 South 9th Street,Salina,KS
Bryan University,1527 SW Fairlawn Rd,Topeka,KS
Butler County Community College,901 S Haverhill Rd,El Dorado,KS
Cutting Edge Hairstyling Academy,4327 State Ave,Kansas City,KS
Central Baptist Theological Seminary,6601 Monticello Road,Shawnee,KS
Central Christian College of Kansas,1200 S Main,McPherson,KS
Cloud County Community College,2221 Campus Dr,Concordia,KS
Coffeyville Community College,400 W 11th St,Coffeyville,KS
Colby Community College,1255 S Range,Colby,KS
Cowley County Community College and Area Vocational-Technical School,"125 South Second Street, P.O. Box 1147",Arkansas City,KS
Marinello School of Beauty - Manhattan,512 Poyntz Avenue,Manhattan,KS
Dodge City Community College,2501 N 14th Ave,Dodge City,KS
Donnelly College,608 N 18th St,Kansas City,KS
Emporia State University,1200 Commercial Street,Emporia,KS
Flint Hills Technical College,3301 W. 18th Ave.,Emporia,KS
Fort Hays State University,600 Park Street,Hays,KS
Barclay College,607 N Kingman,Haviland,KS
Friends University,2100 W. University Ave.,Wichita,KS
Fort Scott Community College,2108 S Horton,Fort Scott,KS
Garden City Community College,801 Campus Dr,Garden City,KS
Haskell Indian Nations University,155 Indian Ave,Lawrence,KS
Hays Academy of Hair Design,1214 East 27th Street,Hays,KS
Hesston College,301 South Main,Hesston,KS
Hutchinson Community College,1300 N Plum St,Hutchinson,KS
Independence Community College,1057 West College Avenue,Independence,KS
Johnson County Community College,12345 College Blvd,Overland Park,KS
Kansas City Ks Area Technical School,2220 N 59th St,Kansas City,KS
Kansas City Kansas Community College,7250 State Ave,Kansas City,KS
University of Kansas,230 Strong Hall 1450 Jayhawk Blvd.,Lawrence,KS
Newman University,3100 McCormick Ave,Wichita,KS
Old Town Barber and Beauty College,1207 E Douglas,Wichita,KS
Kansas State University,110 Anderson Hall,Manhattan,KS
Kansas Wesleyan University,100 E. Claflin Ave.,Salina,KS
Kaw Area Technical School,5724 Huntoon Street,Topeka,KS
LaBaron Hairdressing Academy,8119 Robinson,Overland Park,KS
Labette Community College,200 South 14th Street,Parsons,KS
Southwest Kansas Technical School,2215 N Kansas,Liberal,KS
Manhattan Area Technical College,3136 Dickens Ave,Manhattan,KS
Manhattan Christian College,1415 Anderson Ave,Manhattan,KS
McPherson College,1600 E Euclid,McPherson,KS
MidAmerica Nazarene University,2030 E College Way,Olathe,KS
Neosho County Community College,800 W 14th St,Chanute,KS
North Central Kansas Technical College,Hwy 24,Beloit,KS
Highland Community College Technical Center,1501 W Riley St,Atchison,KS
Northwest Kansas Technical College,1209 Harrison St,Goodland,KS
Ottawa University,1001 South Cedar,Ottawa,KS
Pittsburg State University,1701 S Broadway,Pittsburg,KS
Pratt Community College,348 NE Sr 61,Pratt,KS
University of Saint Mary,4100 S 4th St Trafficway,Leavenworth,KS
Salina Area Technical College,2562 Centennial Road,Salina,KS
Seward County Community College,1801 N. Kansas Ave.,Liberal,KS
Sidney's Hair Dressing College,200 East 3rd Avenue,Hutchinson,KS
Sterling College,125 W. Cooper,Sterling,KS
Baker University School of Nursing,1500 SW 10th,Topeka,KS
Tabor College,400 S Jefferson,Hillsboro,KS
Washburn University of Topeka,1700 SW College Avenue,Topeka,KS
Wichita Area Technical College,4004 North Webb,Wichita,KS
Wichita State University,1845 Fairmount,Wichita,KS
Wichita Technical Institute,2051 South Meridian,Wichita,KS
Alice Lloyd College,100 Purpose Rd,Pippa Passes,KY
Asbury University,1 Macklem Drive,Wilmore,KY
Asbury Theological Seminary,204 N Lexington Ave,Wilmore,KY
Ashland Community and Technical College,1400 College Drive,Ashland,KY
Barrett and Company School of Hair Design,973 Kimberly Square,Nicholasville,KY
Bellarmine University,2001 Newburg Rd,Louisville,KY
Berea College,101 Chestnut Street,Berea,KY
PJ's College of Cosmetology - Bowling Green,1901 Russellville Road,Bowling Green,KY
Southcentral Kentucky Community and Technical College,1845 Loop Drive,Bowling Green,KY
Brescia University,717 Frederica St,Owensboro,KY
Campbellsville University,1 University Dr,Campbellsville,KY
Bluegrass Community and Technical College,470 Cooper Drive,Lexington,KY
Centre College,600 W Walnut St,Danville,KY
Clear Creek Baptist Bible College,300 Clear Creek Rd,Pineville,KY
Paul Mitchell the School - Lexington,3644 Boston Road,Lexington,KY
Collins School of Cosmetology,111 West Chester Ave,Middlesboro,KY
Galen College of Nursing,1031 Zorn Avenue Suite 400,Louisville,KY
University of the Cumberlands,6191 College Station Drive,Williamsburg,KY
E-Town Beauty School,308 N Miles St,Elizabethtown,KY
Eastern Kentucky University,521 Lancaster Ave,Richmond,KY
Elizabethtown Community and Technical College,600 College Street Rd,Elizabethtown,KY
Ezell's Cosmetology School,504 Maple St,Murray,KY
Frontier Nursing University,195 School Street,Hyden,KY
Georgetown College,400 East College Street,Georgetown,KY
Hazard Community and Technical College,One Community College Dr.,Hazard,KY
Paul Mitchell The School Louisville,156 North Hurstbourne Parkway,Louisville,KY
Henderson Community College,2660 S Green St,Henderson,KY
Hopkinsville Community College,720 North Dr,Hopkinsville,KY
Jefferson Community and Technical College,109 E Broadway,Louisville,KY
Jefferson Technical College,727 W Chestnut St,Louisville,KY
Summit Salon Academy - Lexington,"1300 New Circle Road, Suite 110",Lexington,KY
Kentucky Mountain Bible College,855 Hwy 541,Jackson,KY
Kentucky State University,400 East Main Street,Frankfort,KY
Kentucky Wesleyan College,3000 Frederica St,Owensboro,KY
University of Kentucky,101 Main Building,Lexington,KY
King's Daughters' Medical Center,2201 Lexington Avenue,Ashland,KY
Kentucky Christian University,100 Academic Pky,Grayson,KY
LAUREL TECHNICAL COLLEGE,235 S LAUREL RD,LONDON,KY
Lexington Community College,Cooper Dr,Lexington,KY
Lexington Theological Seminary,230 Lexington Theological Seminary,Lexington,KY
Lindsey Wilson College,210 Lindsey Wilson St,Columbia,KY
Sullivan College of Technology and Design,3901 Atkinson Square Dr,Louisville,KY
University of Louisville,2301 S 3rd St,Louisville,KY
Louisville Presbyterian Theological Seminary,1044 Alta Vista Rd,Louisville,KY
Madisonville Community College,2000 College Drive,Madisonville,KY
Maysville Community and Technical College,1755 U.S. 68,Maysville,KY
Mid-Continent University,99 Powell Rd E,Mayfield,KY
Midway University,512 E. Stephens St,Midway,KY
Morehead State University,150 University Blvd,Morehead,KY
Mr. Jim's College of Cosmetology,2855 West Parrish Ave,Owensboro,KY
Murray State University,218 Wells Hall,Murray,KY
Gateway Community and Technical College,1025 Amsterdam Rd,Covington,KY
Northern Kentucky University,University Dr,Highland Heights,KY
Nutek Academy of Beauty Inc,153 Evans Drive,Mount Sterling,KY
Daymar College - Owensboro,3361 Buckland Square,Owensboro,KY
Pat Wilsons Beauty College,326 North Main Street,Henderson,KY
University of Pikeville,147 Sycamore Street,Pikeville,KY
Big Sandy Community and Technical College,One Bert Combs Dr,Prestonsburg,KY
Saint Catharine College,2735 Bardstown Rd,Saint Catharine,KY
St Joseph Healthcare,One St Joseph Dr,Lexington,KY
Somerset Community College,808 Monticello Street,Somerset,KY
Southeast Kentucky Community and Technical College,700 College Rd,Cumberland,KY
Southern Baptist Theological Seminary,2825 Lexington Rd,Louisville,KY
Spalding University,845 South Third Street,Louisville,KY
Spencerian College - Louisville,4627 Dixie Hwy,Louisville,KY
Sullivan University,3101 Bardstown Rd,Louisville,KY
Thomas More College,333 Thomas More Parkway,Crestview Hills,KY
Transylvania University,300 N Broadway,Lexington,KY
Trend Setters Academy-Louisville,7283 Dixie Hwy,Louisville,KY
Union College,310 College St,Barbourville,KY
West Kentucky Community and Technical College,4810 Alben Barkley Drive,Paducah,KY
Western Kentucky University,1906 College Heights Blvd,Bowling Green,KY
Alexandria Academy of Beauty Culture,2305 Rapides Ave,Alexandria,LA
Central Louisiana Technical Community College - Alexandria,4311 South MacArthur Drive,Alexandria,LA
American School of Business,702 Professional Drive North,Shreveport,LA
Ayers Career College,8020 Jewella Avenue,Shreveport,LA
Bastrop Beauty School Inc,117 S Vine St,Bastrop,LA
Baton Rouge General Medical Center School of Nursing,3616 North Blvd,Baton Rouge,LA
Baton Rouge General Medical Center - Radiologic Technology,3600 Florida Blvd,Baton Rouge,LA
Baton Rouge School of Computers,9352 Interline Ave.,Baton Rouge,LA
Capital Area Technical College,3250 North Acadian Thruway East,Baton Rouge,LA
Bossier Parish Community College,6220 East Texas,Bossier City,LA
Cameron College,2740 Canal St,New Orleans,LA
Centenary College of Louisiana,2911 Centenary Boulevard,Shreveport,LA
Cloyd's Beauty School #1,603 Natchitoches Street,West Monroe,LA
D'Jay's Institute of Cosmetology and Esthiology,10120 Red Oak Drive,Baton Rouge,LA
Delgado Community College,615 City Park Ave,New Orleans,LA
Delta School of Business and Technology,517 Broad St,Lake Charles,LA
Louisiana Technical College - Delta-Ouachita Campus,609 Vocational Parkway,West Monroe,LA
Demmon School of Beauty,3430 5th Avenue,Lake Charles,LA
Denham Springs Beauty College,"923 Florida Avenue, S.E.",Denham Springs,LA
Dillard University,2601 Gentilly Blvd,New Orleans,LA
Nunez Community College,3710 Paris Rd,Chalmette,LA
Grambling State University,403 Main Street,Grambling,LA
"Guy's Academy Hair, Skin & Nails",1141 Shreveport Barksdale Highway,Shreveport,LA
ITI Technical College,13944 Airline Hwy,Baton Rouge,LA
Louisiana Technical College - Jefferson Campus,5200 Blair Drive,Metairie,LA
Louisiana Technical College - West Jefferson Campus,475 Manhattan Blvd,Harvey,LA
John Jay Beauty College,540 Robert E Lee Blvd,New Orleans,LA
John Jay Kenner Academy,2844 Tennessee Ave,Kenner,LA
Louisiana State University at Alexandria,8100 Hwy 71 South,Alexandria,LA
Louisiana State University and A&M College,3810 West Lakeshore Drive,Baton Rouge,LA
Louisiana State University at Eunice,2048 Johnson Hwy,Eunice,LA
Louisiana State University at Shreveport,One University Place,Shreveport,LA
Louisiana Technical College - Lafayette,1101 Bertrand Drive,Lafayette,LA
Lousiana Technical College,Highway 883-1,Lake Providence,LA
Ray's Faith Academy of Beauty Education,430-C South Burnside Avenue,Gonzales,LA
Aveda Institute-Baton Rouge,2834 S Sherwood Forest Blvd Ste A,Baton Rouge,LA
Aveda Institute Lafayette,2922 Johnston Street,Lafayette,LA
Louisiana Academy of Beauty,550 E Laurel,Eunice,LA
Louisiana College,1140 College Dr,Pineville,LA
Opelousas School of Cosmetology Inc,529 E Vine St,Opelousas,LA
Louisiana Tech University,305 Wisteria,Ruston,LA
Loyola University New Orleans,6363 Saint Charles Ave,New Orleans,LA
McNeese State University,4205 Ryan Street,Lake Charles,LA
Moler Beauty College,2940 Canal Street,New Orleans,LA
University of New Orleans,2000 Lakeshore Drive,New Orleans,LA
New Orleans Baptist Theological Seminary,3939 Gentilly Blvd,New Orleans,LA
Nicholls State University,University Station  La Hwy 1,Thibodaux,LA
University of Louisiana at Monroe,700 University Avenue,Monroe,LA
Notre Dame Seminary,2901 South Carrollton Ave,New Orleans,LA
Northwestern State University of Louisiana,140 Central Avenue,Natchitoches,LA
University of Holy Cross,4123 Woodland Dr,New Orleans,LA
Franciscan Missionaries of Our Lady University,5414 Brittany Drive,Baton Rouge,LA
Pat Goins Benton Road Beauty School,1701 Old Minden Rd Ste 36,Bossier City,LA
Celebrity Stylist Beauty School,3138 Louisville Ave,Monroe,LA
Pat Goins Ruston Beauty School,213 W Alabama Ave,Ruston,LA
Pat Goins Shreveport Beauty School,6363 Hearne Ave Ste 106,Shreveport,LA
Pineville Beauty School,1008 Main St,Pineville,LA
Remington College - New Orleans Campus,321 Veterans Blvd,Metairie,LA
Aveda Institute - Covington,1355 Polders Lane,Covington,LA
Ronnie & Dormans School of Hair Design,2002 Johnston St,Lafayette,LA
Saint Joseph Seminary College,75376 River Road,St. Benedict,LA
Louisiana Technical College-Sidney N Collier Campus,3727 Louisa St,New Orleans,LA
Vanguard College of Cosmetology A Paul Mitchell Partner School,740 Oak Harbor Blvd,Slidell,LA
Louisiana Technical College-Slidell Campus,1000 Canulette Rd,Slidell,LA
South Louisiana Beauty College,300 Howard Ave,Houma,LA
L.E. Fletcher Technical Community College,1407 Highway 311,Schriever,LA
Remington College - Lafayette Campus,303 Rue Louis XIV,Lafayette,LA
Sowela Technical Community College,3820 Senator J. Bennett Johnston Ave,Lake Charles,LA
Stevenson's Academy of Hair Design,401 Opelousas Avenue,New Orleans,LA
Southeastern Louisiana University,548 Western Ave.,Hammond,LA
Southern University and A & M College,G. Leon Netterville Drive,Baton Rouge,LA
Southern University at New Orleans,6400 Press Dr,New Orleans,LA
Southern University at Shreveport,3050 Martin Luther King Dr,Shreveport,LA
University of Louisiana at Lafayette,104 University Cir,Lafayette,LA
Northshore Technical Community College - Sullivan,1710 Sullivan Drive,Bogalusa,LA
Tulane University,6823 Saint Charles Avenue,New Orleans,LA
Xavier University of Louisiana,One Drexel Drive,New Orleans,LA
South Central Louisiana Technical College,900 Youngs Road,Morgan City,LA
Andover College,265 Western Avenue,South Portland,ME
College of the Atlantic,105 Eden St,Bar Harbor,ME
Bangor Theological Seminary,Two College Circle,Bangor,ME
Bates College,2 Andrews Road,Lewiston,ME
Beal College,99 Farm Road,Bangor,ME
Bowdoin College,5700 College Station - President's Office,Brunswick,ME
Maine College of Health Professions,70 Middle Street,Lewiston,ME
Central Maine Community College,1250 Turner St,Auburn,ME
Colby College,4000 Mayflower Hill,Waterville,ME
Eastern Maine Community College,354 Hogan Road,Bangor,ME
Husson University,One College Circle,Bangor,ME
Kennebec Valley Community College,92 Western Ave,Fairfield,ME
The Landing School,286 River Rd,Arundel,ME
University of Maine at Augusta,46 University Dr,Augusta,ME
University of Maine at Farmington,224 Main St,Farmington,ME
University of Maine at Fort Kent,23 University Drive,Fort Kent,ME
University of Maine at Machias,116 O'Brien Ave,Machias,ME
University of Maine,"5703 Alumni Hall, Suite 200",Orono,ME
Maine Maritime Academy,Pleasant Street,Castine,ME
University of Maine at Presque Isle,181 Main St,Presque Isle,ME
Mercy Hospital,144 State St,Portland,ME
University of New England,11 Hills Beach Rd,Biddeford,ME
Northern Maine Community College,33 Edgemont Drive,Presque Isle,ME
Empire Beauty School - Portland,319 Marginal Way,Portland,ME
Maine College of Art,522 Congress Street,Portland,ME
Saint Joseph's College of Maine,278 White's Bridge Road,Standish,ME
Spa Tech Institute - Westbrook,"100 Larrabee Road, Unit 170",Westbrook,ME
Southern Maine Community College,2 Fort Road,South Portland,ME
University of Southern Maine,96 Falmouth St,Portland,ME
Thomas College,180 W River Rd,Waterville,ME
Unity College,90 Quaker Hill Road,Unity,ME
Washington County Community College,One College Drive,Calais,ME
Aaron's Academy of Beauty,11690 Doolittle Drive,Waldorf,MD
Accutech Career Institute,5310 Spectrum Dr,Frederick,MD
Aesthetics Institute of Cosmetology,"701 Russell Avenue, Space H110 & H103",Gaithersburg,MD
Allegany College of Maryland,12401 Willowbrook Rd SE,Cumberland,MD
Anne Arundel Community College,101 College Parkway,Arnold,MD
Award Beauty School,26 E Antietam St,Hagerstown,MD
Baltimore Hebrew University Inc,5800 Park Heights Avenue,Baltimore,MD
Baltimore Studio of Hair Design,318 N Howard St,Baltimore,MD
Baltimore City Community College,2901 Liberty Heights Ave,Baltimore,MD
University of Baltimore,1420 N. Charles Street,Baltimore,MD
Baltimore International College,"17 Commerce Street, Commerce Exchange",Baltimore,MD
Bowie State University,14000 Jericho Park Rd,Bowie,MD
Broadcasting Institute of Maryland,7200 Harford Road,Baltimore,MD
Capitol Technology University,11301 Springfield Rd,Laurel,MD
Cecil Community College,One Seahawk Dr,North East,MD
College of Southern Maryland,8730 Mitchell Rd,La Plata,MD
Chesapeake College,P. O. Box 8,Wye Mills,MD
Washington Adventist University,7600 Flower Ave,Takoma Park,MD
Coppin State University,2500 West North Avenue,Baltimore,MD
Delmarva Beauty Academy,111 Milford St,Salisbury,MD
North American Trade Schools,"6901 Security Blvd, Suite 16",Baltimore,MD
Frederick Community College,7932 Opossumtown Pike,Frederick,MD
Frostburg State University,101 Braddock Road,Frostburg,MD
Garrett College,687 Mosser Rd,McHenry,MD
Maryland General Hospital,827 Linden Av,Baltimore,MD
Goucher College,1021 Dulaney Valley Road,Baltimore,MD
Greater Baltimore Medical Center,6701 North Charles Street,Baltimore,MD
Hagerstown Community College,11400 Robinwood Dr,Hagerstown,MD
Harford Community College,401 Thomas Run Rd,Bel Air,MD
Hood College,401 Rosemont Ave,Frederick,MD
Howard Community College,10901 Little Patuxent Pkwy,Columbia,MD
The ColorLab Academy of Hair,227 Archer Street,Bel Air,MD
Institute for Advanced Montessori Studies,13500 Layhill Rd.,Silver Spring,MD
Johns Hopkins University,3400 N Charles St,Baltimore,MD
L'Academie de Cuisine,16006 Industrial Dr,Gaithersburg,MD
Lincoln Technical Institute,9325 Snowden River Pky,Columbia,MD
Loyola University Maryland,4501 N Charles St,Baltimore,MD
Maryland Beauty Academy,152 Chartley Dr,Reisterstown,MD
University of Maryland - University College,3501 University Blvd East,Adelphi,MD
University of Maryland - Baltimore,220 N. Arch Street,Baltimore,MD
University of Maryland - Baltimore County,1000 Hilltop Circle,Baltimore,MD
University of Maryland - College Park,Main Administration Building,College Park,MD
Maryland Institute College of Art,1300 West Mount Royal Ave,Baltimore,MD
University of Maryland - Eastern Shore,11868 Academic Oval,Princess Anne,MD
Fortis Institute,700 York Road,Towson,MD
Montgomery Beauty School,8736 Arliss St,Silver Spring,MD
Montgomery College,900 Hungerford Drive,Rockville,MD
Morgan State University,1700 East Cold Spring Lane,Baltimore,MD
Mount St Mary's University,16300 Old Emmitsburg Rd,Emmitsburg,MD
Ner Israel Rabbinical College,400 Mount Wilson Ln,Baltimore,MD
Hair Academy Inc - New Carrollton,8435 Old Annapolis Rd,New Carrollton,MD
Notre Dame of Maryland University,4701 N Charles St,Baltimore,MD
Prince George's Community College,301 Largo Road,Largo,MD
Robert Paul Academy of Cosmetology Arts & Sciences,29 Green Meadow Drive,Timonium,MD
Maryland Beauty Academy of Essex,7930 Eastern Avenue,Baltimore,MD
Saint Mary's Seminary & University,5400 Roland Ave,Baltimore,MD
Salisbury University,1101 Camden Ave,Salisbury,MD
St. Mary's College of Maryland,47645 College Drive,Saint Mary's City,MD
Sojourner-Douglass College,500 N Caroline St,Baltimore,MD
St. John's College,60 College Avenue,Annapolis,MD
Towson University,8000 York Rd,Towson,MD
Maryland University of Integrative Health,7750 Montpelier Road,Laurel,MD
International Beauty School,119 North Center Street,Cumberland,MD
Uniformed Services University of the Health Sciences,4301 Jones Bridge Rd,Bethesda,MD
United States Naval Academy,121 Blake Road,Annapolis,MD
Stevenson University,1525 Greenspring Valley Rd,Stevenson,MD
Washington Adventist Hospital,7600 Carroll Avenue,Takoma Park,MD
Washington Bible College and Capital Bible Seminary,7852 Walker Drive,Greenbelt,MD
Washington College,300 Washington Ave,Chestertown,MD
Washington Theological Union,6896 Laurel St NW,Washington,DC
McDaniel College,2 College Hill,Westminster,MD
Wor-Wic Community College,32000 Campus Drive,Salisbury,MD
Hult International Business School,One Education Street,Cambridge,MA
New England College of Business and Finance,"10 High Street, Suite 204",Boston,MA
American International  College,1000 State Street,Springfield,MA
Amherst College,P.O. Box 5000,Amherst,MA
Andover Newton Theological School,210 Herrick Rd,Newton Centre,MA
Anna Maria College,50 Sunset Lane Box P,Paxton,MA
Assabet Valley Regional Technical School,215 Fitchburg St,Marlborough,MA
Assumption College,500 Salisbury St,Worcester,MA
Atlantic Union College,338 Main St,South Lancaster,MA
Babson College,231 Forest Street,Wellesley,MA
Bancroft School of Massage Therapy,333 Shrewsbury St,Worcester,MA
Boston Baptist College,950 Metropolitan Ave,Boston,MA
Bay Path University,588 Longmeadow Street,Longmeadow,MA
Bay State College,122 Commonwealth Avenue,Boston,MA
Bay State School of Technology,225 Turnpike St,Canton,MA
Becker College,61 Sever St,Worcester,MA
Bentley University,175 Forest St,Waltham,MA
Berklee College of Music,1140 Boylston St MS-1140 OP,Boston,MA
Berkshire Community College,1350 West Street,Pittsfield,MA
Boston Architectural College,320 Newbury St,Boston,MA
Boston Graduate School of Psychoanalysis Inc,1581 Beacon St,Brookline,MA
Boston College,140 Commonwealth Ave,Chestnut Hill,MA
The Boston Conservatory,8 the Fenway,Boston,MA
Boston University,"One Silber Way, 8th Floor",Boston,MA
Brandeis University,"415 South St., MS 100",Waltham,MA
Bridgewater State University,"131 Summer Street, Boyden Hall",Bridgewater,MA
Bristol Community College,777 Elsbree St,Fall River,MA
Brockton Hospital,680 Centre St,Brockton,MA
Bunker Hill Community College,250 New Rutherford Ave,Boston,MA
Butera School of Art,111 Beacon St,Boston,MA
Cambridge College,1000 Massachusetts Ave,Cambridge,MA
Cape Cod Community College,2240 Iyanough Rd,West Barnstable,MA
Catherine Hinds Institute of Esthetics,300 Wildwood Avenue,Woburn,MA
Laboure College,303 Adams Street,Milton,MA
Clark University,950 Main St,Worcester,MA
Conway School of Landscape Design,332 South Deerfield Rd,Conway,MA
Curry College,1071 Blue Hill Ave,Milton,MA
Dean College,99 Main Street,Franklin,MA
Diman Regional Technical Institute - School of Practical Nursing,251 Stonehaven Rd,Fall River,MA
National Aviation Academy of New England,150 Hanscom Drive,Bedford,MA
Eastern Nazarene College,23 E Elm Ave,Quincy,MA
Emerson College,120 Boylston Street,Boston,MA
Endicott College,376 Hale St,Beverly,MA
Episcopal Divinity School,99 Brattle St,Cambridge,MA
Rob Roy Academy Fall River Campus,260 S Main St,Fall River,MA
Fisher College,118 Beacon St,Boston,MA
Fitchburg State University,160 Pearl St,Fitchburg,MA
Framingham State University,100 State St,Framingham,MA
Benjamin Franklin Institute of Technology,41 Berkeley St,Boston,MA
Gordon College,255 Grapevine Rd,Wenham,MA
Gordon-Conwell Theological Seminary,130 Essex St,South Hamilton,MA
Greenfield Community College,1 College Drive,Greenfield,MA
Hallmark Institute of Photography,241 Millers Falls Rd,Turners Falls,MA
Hampshire College,893 West St,Amherst,MA
Harvard University,Massachusetts Hall,Cambridge,MA
Hebrew College,160 Herrick Road,Newton Centre,MA
Hellenic College,50 Goddard Ave,Brookline,MA
Henri's School of Hair Design,276 Water St,Fitchburg,MA
College of the Holy Cross,"One College Street, 119 Fenwick Hall",Worcester,MA
Holyoke Community College,303 Homestead Ave,Holyoke,MA
Kay Harvey Academy of Hair Design,11 Central St,West Springfield,MA
Lasell College,1844 Commonwealth Ave,Newton,MA
Lesley University,29 Everett St,Cambridge,MA
Longy School of Music,One Follen St,Cambridge,MA
Lowell Academy of Hairdressing,136 Central St,Lowell,MA
University of Massachusetts - Lowell,1 University Ave,Lowell,MA
Mansfield Beauty Schools,266 Bridge St,Springfield,MA
Marian Court College,35 Littles Point Rd,Swampscott,MA
Woods Hole Oceanographic Institution,"Co-Op Bldg., MS #16",Woods Hole,MA
University of Massachusetts Amherst,181 Presidents Drive,Amherst,MA
University of Massachusetts - Boston,100 Morrissey Blvd,Boston,MA
Massachusetts Bay Community College,50 Oakland St,Wellesley Hills,MA
MCPHS University,179 Longwood Ave,Boston,MA
Massachusetts College of Art and Design,621 Huntington Ave,Boston,MA
Massachusetts Institute of Technology,77 Massachusetts Avenue,Cambridge,MA
Massachusetts Maritime Academy,101 Academy Dr,Buzzards Bay,MA
University of Massachusetts - Worcester,55 Lake Avenue North,Worcester,MA
William James College,1 Wells Avenue,Newton,MA
Massachusetts School of Barbering,64 Ross Way,Quincy,MA
Soldier's Home in Massachusetts,91 Crest Avenue,Chelsea,MA
Massasoit Community College,One Massasoit Boulevard,Brockton,MA
MGH Institute of Health Professions,"Charlestown Navy Yard, 36 1st Avenue",Boston,MA
Middlesex Community College - Bedford,591 Springs Road,Bedford,MA
Montserrat College of Art,23 Essex St,Beverly,MA
Mount Holyoke College,50 College Street,South Hadley,MA
Mount Ida College,777 Dedham Street,Newton Centre,MA
Mount Wachusett Community College,444 Green Street,Gardner,MA
Cortiva Institute - Boston,103 Morse Street,Watertown,MA
School of the Museum of Fine Arts - Boston,230 The Fenway,Boston,MA
Everest Institute - Brighton,1505 Commonwealth Ave,Brighton,MA
Rob Roy Academy - New Bedford,1872 Acushnet Ave,New Bedford,MA
The New England Conservatory of Music,290 Huntington Ave,Boston,MA
New England College of Optometry,424 Beacon St,Boston,MA
New England School of Acupuncture Inc,150 California Street,Newton,MA
New England School of Law,154 Stuart St,Boston,MA
New England School of Photography,537 Commonwealth Ave,Boston,MA
Newbury College,129 Fisher Ave,Brookline,MA
Nichols College,"123 Center Road, P.O. Box 5000",Dudley,MA
Massachusetts College of Liberal Arts,375 Church St,North Adams,MA
North Bennet Street School,150 North St.,Boston,MA
North Shore Community College,1 Ferncroft Rd,Danvers,MA
The New England Institute of Art,10 Brookline Place West,Brookline,MA
Northeastern University,360 Huntington Ave,Boston,MA
Northern Essex Community College,100 Elliott Street,Haverhill,MA
College of Our Lady of the Elms,291 Springfield St,Chicopee,MA
Pine Manor College,400 Heath St,Chestnut Hill,MA
Pope St. John XXIII National Seminary,558 South Ave,Weston,MA
Quincy College,1250 Hancock Street,Quincy,MA
Quinsigamond Community College,670 W Boylston St,Worcester,MA
Kaplan Career Institute - Charlestown,570 Rutherford Ave,Charlestown,MA
Regis College,235 Wellesley St,Weston,MA
Roxbury Community College,1234 Columbus Ave,Roxbury Crossing,MA
Saint John's Seminary,127 Lake St,Brighton,MA
Salem State University,352 Lafayette St,Salem,MA
Salter College,186 West Boylston Street,West Boylston,MA
Simmons College,300 the Fenway,Boston,MA
Bard College at Simon's Rock: The Early College,84 Alford Rd,Great Barrington,MA
Smith College,College Hall 201,Northampton,MA
Springfield College,263 Alden St,Springfield,MA
Springfield Technical Community College,1 Armory Sq,Springfield,MA
University of Massachusetts - Dartmouth,285 Old Westport Rd,North Dartmouth,MA
Stonehill College,320 Washington Street,Easton,MA
Suffolk University,73 Tremont Street,Boston,MA
Rob Roy Academy - Taunton,1 School St,Taunton,MA
Tufts University,"Ballou Hall, 2nd Floor",Medford,MA
Wellesley College,106 Central St,Wellesley,MA
Wentworth Institute of Technology,550 Huntington Ave,Boston,MA
Western New England University,1215 Wilbraham Rd,Springfield,MA
Westfield State University,577 Western Ave,Westfield,MA
Wheelock College,200 the Riverway,Boston,MA
Williams College,880 Main St,Williamstown,MA
Worcester Polytechnic Institute,100 Institute Road,Worcester,MA
Worcester State University,486 Chandler St,Worcester,MA
"Fiser's College of Cosmetology, LLC",329-1/2 E Maumee,Adrian,MI
Adrian College,110 S Madison St,Adrian,MI
Albion College,611 E Porter St,Albion,MI
"Hillsdale Beauty College A&Z, Inc.",64 Waldron St,Hillsdale,MI
Northwestern Technological Institute,24567 Northwestern Hwy Ste 200,Southfield,MI
Alma College,614 W. Superior Street,Alma,MI
