Institution_Name,Institution_Address,Institution_City,Institution_State
Maricopa Community College System Office,2411 W 14th St,Tempe,AZ
Maricopa Community Colleges - Gateway Community College,108 N. 40th Street,Phoenix,AZ
Maricopa Community Colleges - Mesa Community College,1833 W Southern Ave,Mesa,AZ
Mohave Community College,1971 Jagerson Ave,Kingman,AZ
Motorcycle Mechanics Institute a div. of Universal Technical Institute,2844 W Deer Valley Rd,Phoenix,AZ
Mundus Institute,"2001 W Camelback, Suite 140",Phoenix,AZ
Dine College,P.O. Box 126,Tsaile,AZ
Northern Arizona University,P.O. Box 4092,Flagstaff,AZ
Northland Pioneer College,P.O. Box 610,Holbrook,AZ
"Paralegal Institute, Inc.","7332 Butherus Drive, Suite 102",Scottsdale,AZ
Empire Beauty School - Glendale,10820 North 43rd Ave Ste 12,Glendale,AZ
Phoenix Therapeutic Massage College,8010 East McDowell Road #214,Scottsdale,AZ
University of Phoenix,1625 Fountainhead Parkway,Tempe,AZ
Pima Community College,4905C E. Broadway Blvd.,Tucson,AZ
Pima Medical Institute,"3350 East Grant Road, Suite 200",Tucson,AZ
Prescott College,220 Grove Ave,Prescott,AZ
Refrigeration School Inc,4210 E Washington,Phoenix,AZ
Roberto-Venn School of Luthiery,1012 NW Grand Ave.,Phoenix,AZ
Hair Academy of Safford,1550 West Thatcher Blvd,Safford,AZ
Long Technical College - East Valley,4646 E. Van Buren Street  Suite #350,Phoenix,AZ
Tucson College,"5151 East Broadway Boulevard, Suite 155",Tucson,AZ
Universal Technical Institute of Arizona Inc,10695 West Pierce Street,Avondale,AZ
Metropolitan College,"4129 E. Van Buren Street, Suite #100",Phoenix,AZ
Western International University,1601 W. Fountainhead Parkway,Tempe,AZ
Yavapai College,1100 E Sheldon St,Prescott,AZ
University of Arkansas at Little Rock,2801 S University Ave,Little Rock,AR
University of Arkansas for Medical Sciences,4301 W Markham,Little Rock,AR
"ABC Beauty College, Inc.","203 South 26th Street, Suites B, C & D",Arkadelphia,AR
Arkansas Baptist College,1621 Dr. Martin Luther King Drive,Little Rock,AR
Arkansas Beauty School - Little Rock,5108 Baseline Rd,Little Rock,AR
Arkansas Beauty College,109 N Commerce St,Russellville,AR
Lyon College,2300 Highland Road,Batesville,AR
Arkansas College of Barbering and Hair Design,200 E Washington Ave,North Little Rock,AR
"Arthur's Beauty College, Inc - Fort Smith",2000 North B Street,Fort Smith,AR
"University of Arkansas, Fayetteville",Administration Bldg. 425,Fayetteville,AR
University of Arkansas at Pine Bluff,1200 N University Mail Slot 4789,Pine Bluff,AR
Arkansas State University - Beebe,P.O. Box 1000,Beebe,AR
Arkansas State University,P.O. Box 600,State University,AR
Arkansas Tech University,"Administration Bldg. 200, 1509 North Boulder Avenue",Russellville,AR
University of Arkansas at Monticello,Highway 425 South,Monticello,AR
"Arthur's Beauty College, Inc. - Jacksonville",2600 John Harden Drive,Jacksonville,AR
Baptist Health Schools Little Rock,"11900 Colonel Glenn Road, Suite 1000",Little Rock,AR
Bee-Jay's Hairstyling Academy,1907 Hinson Loop,Little Rock,AR
Black River Technical College,1410 Hwy 304 East,Pocahontas,AR
University of Central Arkansas,201 Donaghey Ave,Conway,AR
Central Baptist College,1501 College Ave,Conway,AR
Creative School of Cosmetology,100 E Main St,Blytheville,AR
Cossatot Community College of the University of Arkansas,183 Hwy 399,De Queen,AR
Crowley's Ridge College,100 College Dr,Paragould,AR
Crowleys Ridge Technical Institute,1620 Newcastle Road,Forrest City,AR
De Luxe Beauty School,1609 West 26th Street,Pine Bluff,AR
East Arkansas Community College,1700 Newcastle Rd,Forrest City,AR
Eastern College of Health Vocations,200 South University Avenue,Little Rock,AR
